C.AR  o.co2   -0.13409461  5  2  8  21
C.AR  n.ar    -0.56057200  5  2 10  22
C.AR  f       -0.63450045  5  2 11  23
C.CAT o.co2   -1.73784748  5  3  8  24
N.4   o.3     -0.61071041  5  4  6  25
N.4   o.co2   -1.08291642  5  4  8  26
N.AM  c.3      0.64256528  5  5  0  27
N.AM  c.2      0.14688809  5  5  1  28
N.AM  c.ar     0.38855272  5  5  2  29
N.AM  o.3      0.42604068  5  5  6  30
N.AM  o.2      0.52022555  5  5  7  31
N.AM  o.co2    0.25256765  5  5  8  32
N.AM  n.ar     0.42800379  5  5 10  33
N.PL3 c.3     -0.27713591  5  6  0  34
N.PL3 c.2     -0.86711005  5  6  1  35
N.PL3 c.ar    -0.20968670  5  6  2  36
N.PL3 o.3     -0.34398687  5  6  6  37
N.PL3 o.2     -0.19640757  5  6  7  38
N.PL3 o.co2   -0.99619753  5  6  8  39
N.2   o.3     -0.81362758  5  7  6  40
N.2   o.2     -1.06950681  5  7  7  41
N.2   o.co2   -1.08162800  5  7  8  42
O.3   c.3     -0.54553074  5  8  0  43
O.3   c.2     -0.61278760  5  8  1  44
O.3   c.ar    -0.35474578  5  8  2  45
O.3   n.4     -0.36553322  5  8  3  46
O.3   n.pl3   -0.29095277  5  8  5  47
O.3   o.3     -0.26182127  5  8  6  48
O.3   o.2     -0.22525748  5  8  7  49
O.3   o.co2   -0.55029343  5  8  8  50
O.3   n.ar    -0.33418443  5  8 10  51
O.2   c.3      0.17295065  5  9  0  52
O.2   c.2      0.21495131  5  9  1  53
O.2   c.ar     0.18976823  5  9  2  54
O.2   n.4      0.55984220  5  9  3  55
O.2   n.am     0.60737815  5  9  4  56
O.2   n.pl3    0.48484120  5  9  5  57
O.2   o.3      0.33242412  5  9  6  58
O.2   o.2      0.10005194  5  9  7  59
O.2   o.co2    0.47223320  5  9  8  60
O.2   n.ar    -0.03548214  5  9 10  61
O.CO2 c.3     -0.73157240  5 10  0  62
O.CO2 c.2     -0.37921992  5 10  1  63
O.CO2 c.ar    -0.22988223  5 10  2  64
O.CO2 n.4     -0.77296758  5 10  3  65
O.CO2 n.am    -0.29347257  5 10  4  66
O.CO2 n.pl3   -0.40145976  5 10  5  67
O.CO2 o.3     -0.66473281  5 10  6  68
O.CO2 o.2     -0.31303613  5 10  7  69
O.CO2 o.co2   -0.48256136  5 10  8  70
O.CO2 n.ar    -0.64842521  5 10 10  71
